intervention_name,description,approximate_impact_on_mortality_rates,approximate_per_capita_cost,mort_impact_lower,mort_impact_upper,mort_impact_ave,cost_lower,cost_upper,cost_mean,row_id,cost_per_annum,Assumed Frequency (per year),Impacted Population,Reasoning
Wellness Programs," Programs focusing on physical fitness, nutrition, and stress management.                           ",2-5% reduction in overall mortality,Č90-Č345 per year,2,5,3.5,90,345,217.5,1,217.5,1,0.1,1 year
Fitness Tracking Incentives,Provide rewards for policyholders using fitness trackers to monitor and improve physical activity.,3-6% reduction in mortality,Č35-Č175 per tracker,3,6,4.5,35,175,105,2,51375555,5000,0.1,"100,000 people over 20 years"
Smoking Cessation Programs,Resources and support for policyholders looking to quit smoking.,Up to 50% reduction in mortality,Č870-Č3485 per participant,50,50,50,870,3485,2177.5,3,383555214.9,625,0.1,"2500 smokers per year, 1/4 smokers do the program"
Annual Health Check-ups,Encourage regular health check-ups with discounts for compliance.,5-10% reduction in mortality,Č175-Č870 per check-up,5,10,7.5,175,870,522.5,4,255654547.5,100000,0.3,"1,000,000 pop spread out over years, each year 3/10 do the program. First year = 5000, 2010 = 100,000, 2023 = 300,000. Average = 133,000 (Downgrade to 100,000 due to PV calcs)"
Telemedicine Services,Provide access to virtual healthcare services for convenience and timely medical advice.,3-5% reduction in mortality,Č50-Č175 per consultation,3,5,4,50,175,112.5,5,55045237.5,35000,0.1,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 2000, 2010 =35,000, 2023 = 100,000. Average = 45,000 (Downgrade to 35,000 due to PV calcs)"
Healthy Eating Campaigns,Promote healthy eating habits through educational campaigns and incentives.,2-4% reduction in mortality,Č10-Č35 per participant,2,4,3,10,35,22.5,6,11009047.5,5000,0.1,"100,000 people over 20 years"
Weight Management Programs,Support weight loss and maintenance through diet and exercise programs.,5-10% reduction in mortality,Č175-Č870 per program,5,10,7.5,175,870,522.5,7,5225,500,0.15,"Assume America 50 states, 10 per state per year"
Mental Health Support,Provide access to mental health resources and counseling services.,3-8% reduction in mortality,Č90-Č345 per counseling session,3,8,5.5,90,345,217.5,8,106420792.5,35000,0.1,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 2000, 2010 =35,000, 2023 = 100,000. Average = 45,000 (Downgrade to 35,000 due to PV calcs)"
Financial Planning Assistance,Help policyholders with financial planning to reduce stress related to economic concerns.,2-4% reduction in mortality,Č90-Č345 per session,2,4,3,90,345,217.5,9,106420792.5,35000,0.1,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 2000, 2010 =35,000, 2023 = 100,000. Average = 45,000 (Downgrade to 35,000 due to PV calcs)"
Educational Workshops," Conduct workshops on healthy living, disease prevention, and general well-being.                    ",2-4% reduction in overall mortality,Č20-Č85 per workshop,2,4,3,20,85,52.5,10,525,500,0.15,"Assume America 50 states, 10 per state per year"
Incentives for Vaccinations,Encourage policyholders to stay up-to-date with vaccinations by offering incentives.,2-8% reduction in mortality,Č20-Č85 per incentive,2,8,5,20,85,52.5,11,262.5,35000,0.1,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 2000, 2010 =35,000, 2023 = 100,000. Average = 45,000 (Downgrade to 35,000 due to PV calcs)"
Regular Dental Check-ups,Stress the importance of oral health and offer discounts for regular dental check-ups.,2-4% reduction in mortality,Č90-Č345 per check-up,2,4,3,90,345,217.5,12,106420792.5,70000,0.2,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 3500, 2010 =70,000, 2023 = 200,000. Average = 90,000 (Downgrade to 35,000 due to PV calcs)"
Vision Care Programs,Promote eye health and provide discounts for vision screenings and eyeglasses.,2-3% reduction in mortality,Č90-Č345 per participant,2,3,2.5,90,345,217.5,13,106420792.5,35000,0.1,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 2000, 2010 =35,000, 2023 = 100,000. Average = 45,000 (Downgrade to 35,000 due to PV calcs)"
Safety Campaigns,Educate policyholders on safety measures at home and in daily activities.,3-5% reduction in mortality,Č10-Č35 per participant,3,5,4,10,35,22.5,14,11009047.5,2500,0.05,"50,000 people over 20 years"
Driving Safety Courses,Offer discounts for policyholders who complete defensive driving courses.,2-4% reduction in mortality,Č85-Č175 per course,2,4,3,85,175,130,15,63607830,2500,0.05,"50,000 people over 20 years"
Heart Health Screenings,Encourage regular screenings for cholesterol levels and blood pressure.,5-10% reduction in mortality,Č90-Č345 per screening,5,10,7.5,90,345,217.5,16,106420792.5,70000,0.2,"1,000,000 pop spread out over years, each year 1/10 do the program. First year = 3500, 2010 =70,000, 2023 = 200,000. Average = 90,000 (Downgrade to 35,000 due to PV calcs)"
Chronic Disease Management,Provide support and resources for policyholders managing chronic conditions.,5-10% reduction in mortality,Č175-Č870 per program,5,10,7.5,175,870,522.5,17,255654547.5,50000,0.9,chronic conditions appear from smoking and more --> causes of death in policyholders could be considered chronic minus external causes of morbidity (~91%)--> number from EDA --> assuming program is unique to each individual
Sleep Hygiene Programs,Educate on the importance of good sleep hygiene for overall health.,3-5% reduction in mortality,Č20-Č85 per program,3,5,4,20,85,52.5,18,25687777.5,4,0.1,
Community Fitness Challenges,Organize community-based fitness challenges with rewards for participation.,2-5% reduction in mortality,Č10-Č35 per participant,2,5,3.5,10,35,22.5,19,11009047.5,10000,0.25,major holidays indicate that they are willing to activities together but cbbs doing it together
Discounted Gym Memberships,Partner with fitness centers to offer discounted memberships to policyholders.,3-6% reduction in mortality,Č175-Č870 per membership,3,6,4.5,175,870,522.5,20,255654547.5,20000,0.4,this could be paired with our own app bmi stuff
Online Health Resources,Provide access to online health resources for information and support.,2-4% reduction in mortality,Č10-Č35 per participant,2,4,3,10,35,22.5,21,11009047.5,30000,0.4,
Personalized Health Plans,Offer personalized health plans based on individual risk factors and goals.,3-6% reduction in mortality,Č90-Č345 per plan,3,6,4.5,90,345,217.5,22,106420792.5,50000,0.7,
Well-being Apps,Recommend and support the use of apps focused on mental and physical well-being.,2-4% reduction in mortality,Č10-Č35 per app,2,4,3,10,35,22.5,23,225,70000,0.5,gonna be tracking stuff via app anyway so everyone must get app
Hydration Campaigns,Promote the importance of staying hydrated for overall health.,2-3% reduction in mortality,Č10-Č35 per campaign,2,3,2.5,10,35,22.5,24,225,4,0.1,
Sun Safety Awareness,Educate on sun safety to prevent skin cancer and other related conditions.,2-4% reduction in mortality,Č10-Č35 per campaign,2,4,3,10,35,22.5,25,225,2,0.7,cancer is top killer for our policyholders --> don't know which cancer tho
Emergency Preparedness Training,Provide resources and training for emergency preparedness.,2-4% reduction in mortality,Č20-Č85 per trainining session,2,4,3,20,85,52.5,26,525,4,0.2,
Social Connection Initiatives,Encourage social activities to foster a sense of community and reduce isolation.,3-5% reduction in mortality,Č10-Č35 per social event,3,5,4,10,35,22.5,27,112.5,50,0.1,
Holistic Stress Reduction," Promote holistic approaches to stress reduction, such as yoga and meditation.                        ",3-8% reduction in mortality,Č20-Č85 per session,3,8,5.5,20,85,52.5,28,525,12,0.1,death from mental wellbeing stuff is 1%
Financial Incentives for Healthy Behavior,Offer premium discounts or cash rewards for maintaining healthy behaviors.,2-5% reduction in mortality,Č20-Č85 per incentive,2,5,3.5,20,85,52.5,29,262.5,70000,0.9,everyone loves spending less
Genetic Testing,Provide information on genetic testing for hereditary health risks.,2-4% reduction in mortality,Č90-Č345 per test,2,4,3,90,345,217.5,30,106420792.5,3000,0.1,
Alcohol Moderation Programs,Offer resources and support for policyholders looking to moderate alcohol consumption.,3-6% reduction in mortality,Č90-Č345 per program,3,6,4.5,90,345,217.5,31,106420792.5,12,0.4,no idea how much ppl drink 
Environmental Wellness,Promote awareness of environmental factors affecting health and well-being.,2-4% reduction in mortality,Č10-Č35 per campaign,2,4,3,10,35,22.5,32,225,4,0.3,
Employee Assistance Programs,Extend support services to family members of policyholders through workplace programs.,3-5% reduction in mortality,Č90-Č345 per counseling session,3,5,4,90,345,217.5,33,106420792.5,480000,0.7,if u buy insurance --> someone you love will benefit from it when u die so they will prob want support services --> say half of policyholder * once a month
Holistic Nutrition Education,Provide education on the benefits of a balanced and holistic approach to nutrition.,2-4% reduction in mortality,Č20-Č85 per session,2,4,3,20,85,52.5,34,525,12,0.1,
Incentives for Preventive Screenings,Offer rewards for policyholders who undergo preventive health screenings.,5-10% reduction in mortality,Č20-Č85 per incentive,5,10,7.5,20,85,52.5,35,52.5,70000,0.7,
Holistic Health Assessments," Conduct holistic health assessments to address physical, mental, and emotional well-being.          ",3-6% reduction in mortality,Č90-Č345 per assessment,3,6,4.5,90,345,217.5,36,106420792.5,70000,0.7,
Cancer Prevention Initiatives,Provide resources and information on cancer prevention strategies.,5-10% reduction through early detection,Č20-Č85 per initiative,5,10,7.5,20,85,52.5,37,52.5,6,0.7,
Community Gardens,Support community gardens to promote access to fresh and healthy foods.,2-4% reduction in mortality,Č10-Č35 per garden plot,2,4,3,10,35,22.5,38,11009047.5,12,0.1,
Active Aging Programs,Encourage activities that promote active aging for elderly policyholders.,3-6% reduction in mortality,Č20-Č85 per program,3,6,4.5,20,85,52.5,39,525,24,0.2,
Home Safety Inspections,Offer resources for home safety inspections to prevent accidents.,3-5% reduction in mortality,Č20-Č85 per inspection,3,5,4,20,85,52.5,40,25687777.5,24,0.2,
Mindfulness Programs,Introduce mindfulness and stress reduction programs.,3-8% reduction in mortality,Č20-Č85 per session,3,8,5.5,20,85,52.5,41,525,12,0.1,
Parenting Support Services,Provide resources and support for parents to promote family well-being.,2-4% reduction in mortality,Č10-Č35 per session,2,4,3,10,35,22.5,42,225,24,0.2,
Travel Safety Tips,Educate policyholders on travel safety to reduce risks during trips.,2-4% reduction in mortality,Č10-Č35 per campaign,2,4,3,10,35,22.5,43,225,5000,0.2,
Financial Literacy Workshops,Conduct workshops on financial literacy to reduce stress related to money management.,2-4% reduction in mortality,Č20-Č85 per workshop,2,4,3,20,85,52.5,44,525,12,0.2,
Hiking and Outdoor Activities Groups,Facilitate outdoor activities groups to promote physical activity.,3-6% reduction in mortality,Č20-Č85 per group,3,6,4.5,20,85,52.5,45,52.5,24,0.2,
Cognitive Health Programs,Offer resources and activities to support cognitive health.,3-6% reduction in mortality,Č20-Č85 per program,3,6,4.5,20,85,52.5,46,525,24,0.3,
Art and Creativity Classes,Promote engagement in artistic and creative pursuits for mental well-being.,2-4% reduction in mortality,Č10-Č35 per class,2,4,3,10,35,22.5,47,225,12,0.2,
Mind-Body Wellness Retreats,Organize wellness retreats focusing on mind-body balance.,3-6% reduction in mortality,Č90-Č345 per retreat,3,6,4.5,90,345,217.5,48,1087.5,12,0.1,
Incentives for Regular Medication Adherence,Offer rewards for policyholders who consistently adhere to prescribed medications.,2-5% reduction in mortality,Č20-Č85 per incentive,2,5,3.5,20,85,52.5,49,262.5,40000,0.4,
Ergonomic Workstation Assessments,Conduct ergonomic workstation assessments to address workplace ergonomics.,2-4% reduction in mortality,Č20-Č85 per assessment,2,4,3,20,85,52.5,50,25687777.5,24,0.2,
